,athlete_id,region,age,height,weight,pullups,experience,is_male,experience_level,diet,athletic_background,workout_schedule,BMI,total_lift
31037,233123.0,North East,28.0,71.0,209.0,48.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,29.146399523903987,1420.0
31039,234630.0,Southern California,19.0,65.0,150.0,57.0,Not Provided,1,Amateur,Not Provided,Not Provided,Not Provided,24.958579881656803,1255.0
31040,239135.0,Canada West,22.0,72.0,208.0,35.0,Beginner with coach,1,Amateur,Normal Diet,Professional Sports,Single workout per day,28.20679012345679,1430.0
31041,245432.0,Australia,30.0,69.0,176.0,52.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.98781768536022,1286.0
31043,249675.0,South East,27.0,71.0,185.0,63.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,25.799444554651856,1241.0
31049,291019.0,Central East,19.0,70.0,187.0,40.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.828775510204082,1372.0
31054,334893.0,North Central,22.0,73.0,205.0,50.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.043535372490147,1345.0
31059,415750.0,Mid Atlantic,26.0,71.0,191.0,40.0,Beginner without coach,1,Amateur,Not Provided,Recreational Sports,Not Provided,26.636183296964887,1225.0
31060,419864.0,Europe,23.0,71.0,176.0,40.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,24.544336441182306,1158.0
31067,6038.0,Central East,32.0,77.0,218.0,60.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,25.84820374430764,1460.0
31068,10615.0,Europe,27.0,73.0,210.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Professional Sports,Flexible,27.70313379620942,1411.0
31069,13847.0,South Central,30.0,70.0,175.0,42.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,25.107142857142858,1190.0
31074,86205.0,North East,26.0,67.0,168.0,78.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.309645800846514,1410.0
31075,91379.0,South Central,24.0,67.0,170.0,49.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,26.62285586990421,1495.0
31076,92926.0,Canada East,20.0,71.0,188.0,40.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Not Provided,26.217813925808372,1355.0
31079,95748.0,Southern California,35.0,71.0,205.0,46.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,28.5885736956953,1290.0
31081,96919.0,Europe,25.0,67.0,179.0,49.0,Beginner without coach,1,Amateur,Normal Diet,Professional Sports,Flexible,28.032301180663843,1588.0
31083,100692.0,Canada West,31.0,70.0,197.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.2634693877551,1521.0
31085,106472.0,South East,30.0,69.0,172.0,50.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.397185465238394,1300.0
31086,109214.0,North Central,37.0,70.0,185.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,26.541836734693877,1240.0
31087,109842.0,Southern California,31.0,66.0,166.0,52.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.790174471992653,1400.0
31089,115149.0,Europe,26.0,76.0,196.0,40.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.855263157894736,1246.0
31092,120179.0,Asia,25.0,67.0,155.0,40.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.273780351971485,1301.0
31094,129731.0,Northern California,27.0,70.0,199.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,28.550408163265306,1380.0
31098,138290.0,North Central,27.0,68.0,190.0,65.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,28.886245674740483,1305.0
31102,162686.0,North Central,29.0,70.0,188.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.972244897959182,1150.0
31104,196633.0,Mid Atlantic,34.0,67.0,174.0,49.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.249276008019603,1605.0
31109,214391.0,South East,21.0,72.0,209.0,40.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,28.342399691358025,1535.0
31114,232212.0,South West,48.0,68.0,174.0,54.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.45371972318339,1405.0
31116,233967.0,Canada West,28.0,69.0,174.0,60.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.692501575299307,1250.0
31118,242621.0,Australia,25.0,70.0,191.0,60.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.40265306122449,1497.0
31119,244880.0,North Central,21.0,69.0,198.0,62.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,29.236294896030245,1605.0
31120,246706.0,Northern California,31.0,72.0,203.0,45.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Not Provided,27.528742283950617,1265.0
31136,413679.0,North Central,26.0,64.0,182.0,50.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,31.23681640625,1300.0
31143,1651.0,Mid Atlantic,37.0,66.0,165.0,28.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,26.62878787878788,1120.0
31144,2284.0,Mid Atlantic,29.0,68.0,159.0,76.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,24.173226643598618,1608.0
31145,3364.0,Europe,32.0,67.0,165.0,60.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.83983069725997,1252.0
31146,4600.0,Europe,30.0,75.0,196.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,24.495644444444444,1336.0
31149,40945.0,Central East,25.0,70.0,187.0,50.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.828775510204082,1350.0
31151,70293.0,South West,33.0,70.0,180.0,60.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.824489795918367,1260.0
31152,83254.0,South East,28.0,71.0,199.0,60.0,Beginner with coach,1,Expert,Normal Diet,College or High School Sports,Single workout per day,27.751834953382264,1555.0
31153,99814.0,Europe,29.0,69.0,180.0,37.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,26.578449905482042,1036.0
31155,104942.0,Latin America,21.0,69.0,176.0,25.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,25.98781768536022,1140.0
31158,112276.0,Australia,25.0,71.0,207.0,41.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,28.86748660979964,1284.0
31159,112318.0,Europe,36.0,68.0,171.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Not Provided,Multiple workouts per day,25.997621107266436,1323.0
31165,124341.0,Northern California,27.0,69.0,180.0,52.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Not Provided,Multiple workouts per day,26.578449905482042,1455.0
31167,129410.0,South West,34.0,73.0,190.0,47.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,25.064740101332333,1410.0
31168,134027.0,South East,30.0,73.0,193.0,30.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.460499155563895,1160.0
31170,141225.0,North East,43.0,69.0,184.0,32.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.169082125603865,1180.0
31174,148300.0,South East,25.0,74.0,185.0,61.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,23.75,1225.0
31179,172368.0,South West,25.0,70.0,180.0,65.0,Beginner with coach,1,Proficient,Normal Diet,Professional Sports,Single workout per day,25.824489795918367,1395.0
31183,213724.0,Northern California,22.0,68.0,180.0,50.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.3659169550173,1315.0
31186,229002.0,Central East,22.0,68.0,180.0,50.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.3659169550173,1315.0
31194,260657.0,Mid Atlantic,30.0,65.0,162.0,50.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.95526627218935,1220.0
31196,266284.0,North Central,31.0,70.0,195.0,50.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,27.976530612244897,1355.0
31198,287683.0,Europe,23.0,70.0,169.0,51.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.246326530612244,1146.0
31210,468088.0,Latin America,24.0,67.0,175.0,45.0,Beginner without coach,1,Amateur,Not Provided,Recreational Sports,Single workout per day,27.40588104254845,1215.0
31214,515262.0,North Central,23.0,73.0,190.0,50.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,25.064740101332333,1365.0
31218,8755.0,Northern California,31.0,68.0,185.0,64.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,28.126081314878892,1485.0
31221,14976.0,South East,28.0,72.0,213.0,50.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.884837962962962,1630.0
31222,18749.0,South East,29.0,70.0,165.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,23.672448979591838,1335.0
31225,71780.0,South Central,32.0,69.0,197.0,40.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,29.08863684099979,1430.0
31227,97315.0,Mid Atlantic,26.0,68.0,165.0,40.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Single workout per day,25.085423875432525,1285.0
31228,98458.0,Mid Atlantic,41.0,70.0,185.0,35.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Professional Sports,Not Provided,26.541836734693877,1240.0
31229,99883.0,North East,29.0,68.0,169.0,34.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Flexible,25.6935553633218,1220.0
31231,105217.0,North Central,28.0,70.0,176.0,30.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.250612244897958,1245.0
31238,121411.0,Mid Atlantic,20.0,71.0,175.0,51.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Flexible,24.404879984130133,1415.0
31240,122988.0,Europe,29.0,72.0,200.0,41.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Not Provided,Not Provided,27.121913580246915,1790.0
31241,123385.0,Europe,35.0,69.0,187.0,45.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Professional Sports,Single workout per day,27.612056290695232,1279.0
31248,148597.0,North Central,38.0,73.0,210.0,40.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,27.70313379620942,1445.0
31251,179103.0,South West,33.0,72.0,184.0,48.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,24.95216049382716,1140.0
31257,219565.0,South East,28.0,68.0,180.0,57.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.3659169550173,1397.0
31260,226425.0,North Central,25.0,73.0,205.0,38.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.043535372490147,1360.0
31270,256222.0,North Central,30.0,69.0,185.0,36.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.31674018063432,1320.0
31271,267872.0,South Central,33.0,69.0,208.0,47.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,30.712875446334802,1683.0
31272,272843.0,Central East,23.0,71.0,182.0,33.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.381075183495337,1280.0
31275,274830.0,Canada West,27.0,72.0,189.0,50.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Not Provided,25.630208333333332,1140.0
31283,354152.0,South East,23.0,71.0,195.0,48.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.194009125173576,1365.0
31284,357946.0,South Central,27.0,71.0,200.0,55.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,27.891291410434437,1280.0
31286,438214.0,South East,28.0,68.0,178.0,53.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.061851211072664,1150.0
31288,464427.0,South Central,25.0,73.0,203.0,46.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,26.77969600300244,1520.0
31290,478348.0,Canada East,24.0,70.0,168.0,45.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.102857142857143,1105.0
31297,2671.0,Northern California,38.0,72.0,185.0,56.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.087770061728396,1230.0
31299,3380.0,Australia,39.0,68.0,165.0,53.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.085423875432525,1305.0
31305,96157.0,Mid Atlantic,33.0,72.0,183.0,47.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.816550925925927,1335.0
31306,96660.0,South East,42.0,69.0,184.0,55.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,27.169082125603865,1350.0
31308,105976.0,North Central,24.0,68.0,185.0,63.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.126081314878892,1460.0
31310,106284.0,Northern California,25.0,74.0,218.0,60.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,27.986486486486488,1635.0
31311,107898.0,North Central,22.0,70.0,180.0,45.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.824489795918367,1315.0
31313,111826.0,South Central,33.0,67.0,160.0,30.0,Beginner with coach,1,Proficient,Not Provided,College or High School Sports,Multiple workouts per day,25.056805524615726,1113.0
31314,115543.0,North East,28.0,74.0,205.0,43.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,26.31756756756757,1255.0
31315,116538.0,North East,39.0,68.0,175.0,48.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,26.60575259515571,1315.0
31316,116903.0,North West,45.0,71.0,184.0,30.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.659988097599683,1235.0
31317,117313.0,Europe,27.0,69.0,183.0,55.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,27.02142407057341,1373.0
31321,132560.0,North East,26.0,67.0,173.0,55.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,27.092670973490755,1295.0
31323,138531.0,North Central,26.0,72.0,185.0,45.0,Not Provided,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.087770061728396,1249.0
31324,145303.0,Northern California,27.0,72.0,185.0,33.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Flexible,25.087770061728396,1090.0
31327,150298.0,Europe,19.0,67.0,165.0,65.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,25.83983069725997,1406.0
31329,151424.0,North East,28.0,70.0,185.0,58.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.541836734693877,1270.0
31330,151670.0,Canada East,29.0,70.0,190.0,60.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Professional Sports,Multiple workouts per day,27.259183673469387,1470.0
31335,193383.0,Southern California,22.0,68.0,178.0,51.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,27.061851211072664,1260.0
31336,195441.0,South East,27.0,67.0,180.0,53.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,28.188906215192695,1370.0
31337,199533.0,North East,22.0,69.0,185.0,51.0,Beginner without coach,1,Not Provided,Normal Diet,Recreational Sports,Flexible,27.31674018063432,1490.0
31342,224656.0,Europe,26.0,72.0,202.0,55.0,Not Provided,1,Not Provided,Normal Diet,Not Provided,Not Provided,27.393132716049383,1473.0
31343,226283.0,North Central,24.0,68.0,185.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,28.126081314878892,1500.0
31350,253367.0,Northern California,22.0,70.0,165.0,44.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.672448979591838,1175.0
31359,282792.0,North West,29.0,71.0,185.0,50.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,25.799444554651856,1425.0
31373,4479.0,South Central,35.0,70.0,168.0,52.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,24.102857142857143,1025.0
31374,4880.0,North East,33.0,69.0,178.0,56.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.28313379542113,1415.0
31375,10432.0,North Central,23.0,70.0,170.0,52.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,24.389795918367348,1315.0
31377,30682.0,Canada East,28.0,72.0,195.0,53.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.44386574074074,1360.0
31378,44416.0,South Central,32.0,70.0,195.0,54.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,27.976530612244897,1460.0
31379,46475.0,Northern California,29.0,74.0,220.0,49.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Professional Sports,Single workout per day,28.243243243243242,1565.0
31384,92305.0,North East,28.0,65.0,170.0,65.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,28.286390532544377,1415.0
31385,93432.0,Latin America,32.0,65.0,153.0,49.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.45775147928994,975.0
31386,94844.0,Canada East,23.0,70.0,160.0,30.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Not Provided,22.955102040816328,1030.0
31387,95041.0,Central East,22.0,68.0,160.0,30.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.325259515570934,1345.0
31388,95457.0,Canada West,30.0,72.0,195.0,26.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.44386574074074,1225.0
31393,102356.0,South East,23.0,75.0,210.0,45.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,26.245333333333335,1485.0
31394,103056.0,North West,25.0,71.0,185.0,70.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.799444554651856,1435.0
31400,124711.0,Central East,26.0,75.0,194.0,47.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,24.24568888888889,1355.0
31401,127941.0,North Central,32.0,72.0,197.0,51.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.71508487654321,1425.0
31409,176781.0,South West,29.0,68.0,201.0,27.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,30.558607266435985,1421.0
31410,185937.0,Europe,32.0,68.0,171.0,45.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.997621107266436,1281.0
31415,227826.0,Canada East,20.0,67.0,165.0,35.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.83983069725997,1100.0
31417,228158.0,Latin America,24.0,67.0,167.0,45.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.153040766317666,1317.0
31418,230879.0,Central East,22.0,73.0,192.0,36.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.328579470820042,1370.0
31420,233352.0,Southern California,30.0,71.0,199.0,37.0,Beginner without coach,1,Amateur,Normal Diet,Not Provided,Flexible,27.751834953382264,1280.0
31421,235254.0,Europe,37.0,68.0,172.0,50.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,26.149653979238753,1191.0
31427,265136.0,South West,26.0,72.0,194.0,43.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.308256172839506,1275.0
31428,268409.0,Latin America,30.0,70.0,196.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,28.12,1389.0
31431,279077.0,South West,27.0,67.0,172.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,26.936065938961907,1330.0
31433,288372.0,North Central,23.0,67.0,188.0,42.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,29.44174649142348,1365.0
31434,294070.0,North Central,26.0,67.0,198.0,27.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,31.00779683671196,1445.0
31438,356544.0,Africa,19.0,68.0,172.0,40.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,26.149653979238753,1242.0
31450,512735.0,Canada West,26.0,70.0,175.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.107142857142858,1153.0
31456,6089.0,Northern California,27.0,70.0,190.0,51.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Not Provided,27.259183673469387,1365.0
31461,41528.0,Australia,27.0,72.0,193.0,14.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.172646604938272,1608.0
31465,92819.0,Australia,26.0,69.0,211.0,36.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Single workout per day,31.15584961142617,1550.0
31467,94815.0,North Central,28.0,71.0,198.0,52.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.612378496330095,1545.0
31468,95318.0,Canada West,32.0,70.0,188.0,30.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.972244897959182,1060.0
31469,100099.0,South Central,31.0,72.0,195.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.44386574074074,1440.0
31471,116084.0,South Central,45.0,71.0,195.0,30.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.194009125173576,1160.0
31472,121221.0,South Central,29.0,75.0,195.0,35.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Single workout per day,24.370666666666665,1300.0
31474,124427.0,North East,32.0,69.0,184.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,27.169082125603865,1360.0
31477,135891.0,North East,27.0,70.0,191.0,21.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.40265306122449,1260.0
31478,136079.0,North West,24.0,72.0,185.0,21.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.087770061728396,1495.0
31480,144562.0,Central East,24.0,71.0,180.0,53.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Flexible,25.102162269390995,1335.0
31482,153779.0,South East,36.0,74.0,205.0,41.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.31756756756757,1310.0
31485,169026.0,Africa,36.0,70.0,178.0,30.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,25.537551020408163,1080.0
31489,195399.0,North East,32.0,69.0,175.0,58.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.84015963032976,1295.0
31490,204085.0,Mid Atlantic,34.0,71.0,171.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.847054155921445,1110.0
31495,240226.0,Southern California,24.0,72.0,185.0,40.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.087770061728396,1375.0
31497,241778.0,Mid Atlantic,26.0,69.0,178.0,44.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,26.28313379542113,1390.0
31499,246065.0,South East,25.0,68.0,179.0,45.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,27.213884083044984,1350.0
31509,296064.0,Australia,23.0,71.0,191.0,3.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.636183296964887,859.0
31513,328854.0,North Central,23.0,71.0,181.0,65.0,Not Provided,1,Proficient,Not Provided,Not Provided,Not Provided,25.241618726443168,1420.0
31531,590950.0,Central East,29.0,75.0,185.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.12088888888889,1345.0
31534,5247.0,Australia,47.0,70.0,176.0,40.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Not Provided,Multiple workouts per day,25.250612244897958,1063.0
31535,6988.0,North West,22.0,76.0,195.0,45.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,23.73355263157895,1363.0
31539,64936.0,South Central,36.0,72.0,210.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.47800925925926,1445.0
31542,84025.0,Canada East,37.0,72.0,208.0,35.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Flexible,28.20679012345679,1570.0
31543,89205.0,South Central,35.0,68.0,174.0,31.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.45371972318339,1125.0
31546,97135.0,North Central,25.0,75.0,195.0,43.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,24.370666666666665,1280.0
31547,98737.0,South West,35.0,69.0,170.0,54.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.101869355177485,1231.0
31548,98912.0,Central East,34.0,68.0,163.0,51.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Not Provided,24.781358131487888,1275.0
31550,100686.0,South East,26.0,71.0,223.0,42.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,31.0987899226344,1695.0
31554,107996.0,South Central,37.0,68.0,174.0,51.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.45371972318339,1220.0
31556,111740.0,North Central,26.0,69.0,173.0,40.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Not Provided,25.544843520268852,1345.0
31557,112816.0,North Central,35.0,67.0,166.0,36.0,Beginner without coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.996435731788818,1220.0
31561,125813.0,North East,26.0,72.0,200.0,44.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,27.121913580246915,1540.0
